State Name,1st Place 2024,2nd Place 2024,3rd Place 2024
Alabama,Candy Necklaces,Conversation Hearts,Heart-Shaped Box of Chocolates
Alaska,Conversation Hearts,Heart-Shaped Box of Chocolates,Cinnamon Bears
Arizona,M&M's,Heart-Shaped Box of Chocolates,Conversation Hearts
Arkansas,Hershey Kisses,Conversation Hearts,Ghirardelli Gift Box
California,Conversation Hearts,Heart-Shaped Box of Chocolates,M&M's
Colorado,Heart-Shaped Box of Chocolates,Conversation Hearts,Hershey Kisses
Connecticut,Heart-Shaped Box of Chocolates,M&M's,Conversation Hearts
Delaware,Hershey Kisses,Conversation Hearts,Chocolate Hearts
District of Columbia,Heart-Shaped Box of Chocolates,Conversation Hearts,Cinnamon Bears
Florida,Heart-Shaped Box of Chocolates,Conversation Hearts,Chocolate Roses
Georgia,Heart-Shaped Box of Chocolates,Chocolate Roses,Conversation Hearts
Hawaii,Conversation Hearts,M&M's,Candy Necklaces
Idaho,Hershey Kisses,Conversation Hearts,M&M's
Illinois,Chocolate Hearts,Conversation Hearts,M&M's
Indiana,Heart-Shaped Box of Chocolates,Conversation Hearts,Chocolate Roses
Iowa,M&M's,Conversation Hearts,Ghirardelli Gift Box
Kansas,Heart-Shaped Box of Chocolates,M&M's,Ghirardelli Gift Box
Kentucky,Chocolate Roses,M&M's,Conversation Hearts
Louisiana,Conversation Hearts,Heart-Shaped Box of Chocolates,M&M's
Maine,Chocolate Hearts,Ghirardelli Gift Box,Conversation Hearts
Maryland,M&M's,Conversation Hearts,Heart-Shaped Box of Chocolates
Massachusetts,Conversation Hearts,Heart-Shaped Box of Chocolates,Chocolate Hearts
Michigan,Cupid Corn,Heart-Shaped Box of Chocolates,Conversation Hearts
Minnesota,M&M's,Heart-Shaped Box of Chocolates,Conversation Hearts
Mississippi,Heart-Shaped Box of Chocolates,Conversation Hearts,Chocolate Roses
Missouri,Heart-Shaped Box of Chocolates,Conversation Hearts,Hershey Kisses
Montana,Chocolate Hearts,Heart-Shaped Box of Chocolates,Hershey Kisses
Nebraska,Heart-Shaped Box of Chocolates,Cupid Corn,Chocolate Hearts
Nevada,Heart-Shaped Box of Chocolates,Conversation Hearts,Chocolate Roses
New Hampshire,Heart-Shaped Box of Chocolates,Conversation Hearts,Chocolate Hearts
New Jersey,Heart-Shaped Box of Chocolates,M&M's,Conversation Hearts
New Mexico,Chocolate Roses,Heart-Shaped Box of Chocolates,Candy Necklaces
New York,Conversation Hearts,Heart-Shaped Box of Chocolates,Cinnamon Bears
North Carolina,Conversation Hearts,Heart-Shaped Box of Chocolates,Cupid Corn
North Dakota,M&M's,Conversation Hearts,Heart-Shaped Box of Chocolates
Ohio,Heart-Shaped Box of Chocolates,Cupid Corn,Conversation Hearts
Oklahoma,Heart-Shaped Box of Chocolates,Conversation Hearts,Chocolate Roses
Oregon,Hershey Kisses,M&M's,Heart-Shaped Box of Chocolates
Pennsylvania,Hershey Kisses,M&M's,Conversation Hearts
Rhode Island,Chocolate Hearts,Heart-Shaped Box of Chocolates,Conversation Hearts
South Carolina,Conversation Hearts,Heart-Shaped Box of Chocolates,Ghirardelli Gift Box
South Dakota,Conversation Hearts,Hershey Kisses,Chocolate Hearts
Tennessee,Conversation Hearts,Heart-Shaped Box of Chocolates,Wild Berry Skittles
Texas,Hershey Kisses,Heart-Shaped Box of Chocolates,Conversation Hearts
Utah,Hershey Kisses,M&M's,Conversation Hearts
Vermont,M&M's,Conversation Hearts,Candy Necklaces
Virginia,Conversation Hearts,Heart-Shaped Box of Chocolates,Hershey Kisses
Washington,Conversation Hearts,Heart-Shaped Box of Chocolates,Chocolate Roses
West Virginia,Conversation Hearts,Cupid Corn,Candy Necklaces
Wisconsin,Hershey Kisses,Conversation Hearts,Ghirardelli Gift Box
Wyoming,Chocolate Roses,Conversation Hearts,Heart-Shaped Box of Chocolates